source,source_path,relative_path,canonical_path,canonical_script,document_id,layer,split,char_count,line_count,segment_count,has_accent,has_unknown_chars,source_hash,canonical_hash,byte_count,freeze_id,freeze_input_path
gretil,data/raw/gretil/1_veda/2_bra/gopbra_u.htm,1_veda/2_bra/gopbra_u.htm,data/canonical/gretil_iast/1_veda/2_bra/gopbra_u.txt,iast,doc_623716e476beb6213d79c809,veda,train,241458,10487,5244,false,false,9226c60d019eb37ef306337cfec3ab31612a3b35b3c9ddc602936dfef03928d0,c4bca04d5db081b0b89f8ad5e725f7d0dc1b842b6e2fe5c92c88a5d058602843,289594,9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/gopbra_u.txt
gretil,data/raw/gretil/1_veda/2_bra/kausibru.htm,1_veda/2_bra/kausibru.htm,data/canonical/gretil_iast/1_veda/2_bra/kausibru.txt,iast,doc_7f11858eca93c5029fc54fe6,veda,train,280215,13829,6915,false,false,a4007280eaf571f0b9e41900f53a4cb10db905301f582675932fd0ecccd97d0b,cb4f9d04c0117f16f7da70126111362de15c295c291e1a4b4446cc8053ea8c87,322882,9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/kausibru.txt
gretil,data/raw/gretil/1_veda/2_bra/pncvbr1u.htm,1_veda/2_bra/pncvbr1u.htm,data/canonical/gretil_iast/1_veda/2_bra/pncvbr1u.txt,iast,doc_ebc948235a1b7620f48b2187,veda,dev,331419,7123,3562,false,false,5baa2cb6c980efa44bb4dd48e56bceb085f5c595619f65a9315dfd3cb2b4adff,f21103a2c372f63151c99090d83e42dc2647f219367503619d105001f3ca7fbd,396917,9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/pncvbr1u.txt
gretil,data/raw/gretil/1_veda/2_bra/pncvbr2u.htm,1_veda/2_bra/pncvbr2u.htm,data/canonical/gretil_iast/1_veda/2_bra/pncvbr2u.txt,iast,doc_2696004a81193cc08a7b2e5e,veda,train,331419,7123,3562,false,false,43b1a9b55653a798ba2662bc8ab4c91d6e8538299ff410f0f031a6a9c152ca6c,4dc0455509d7e2390a13646aea642c458d516c84521f319b1e8049209fffd9f6,390481,9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/pncvbr2u.txt
gretil,data/raw/gretil/1_veda/2_bra/satapath/sb_01_u.htm,1_veda/2_bra/satapath/sb_01_u.htm,data/canonical/gretil_iast/1_veda/2_bra/satapath/sb_01_u.txt,iast,doc_c87200f346d91442580e7fd2,veda,test,167114,5109,2555,false,false,f7b8223849f011596b68767489e47b82cf15dcc8c98756d4c40506a522c9dc8b,7137d4ec4d9600839efe000ea98ec8aa45411c3e32dd3aea36e4ec0f8d4700be,198006,9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_01_u.txt
gretil,data/raw/gretil/1_veda/2_bra/satapath/sb_02_u.htm,1_veda/2_bra/satapath/sb_02_u.htm,data/canonical/gretil_iast/1_veda/2_bra/satapath/sb_02_u.txt,iast,doc_58452b0787b62b8ef27e6e73,veda,train,116994,3535,1768,false,false,e64f59c09eea8ce5a508582774be43540fbeae6d19cb99b255cf0ce01777d373,eb9ec9d35660be11957d5fd1a550b82d1d96b696fa75c3f6be3d45f092845982,137750,9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_02_u.txt
gretil,data/raw/gretil/1_veda/2_bra/satapath/sb_03_u.htm,1_veda/2_bra/satapath/sb_03_u.htm,data/canonical/gretil_iast/1_veda/2_bra/satapath/sb_03_u.txt,iast,doc_91b57c5090e35838b6b3e0e4,veda,dev,173785,5263,2632,false,false,287936df0f2d2ddff0741dc5d953751d1a992643d76bfcfc9d2e17358b12c460,229a48cba9019702c60e48cd10c50c1cf98cfda844a52ee19b312cebab5d395e,206221,9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_03_u.txt
gretil,data/raw/gretil/1_veda/2_bra/satapath/sb_04_u.htm,1_veda/2_bra/satapath/sb_04_u.htm,data/canonical/gretil_iast/1_veda/2_bra/satapath/sb_04_u.txt,iast,doc_2be734e31b7165fde38a8272,veda,train,136077,4127,2064,false,false,589d4067984d6b43d4af9c57876a1efc03a03fa5e360cf6873d4ccd8de5952ad,618056daaf746904657db7b8e3a2c627da72a5f1ee89cfff913c436397f534bd,162493,9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_04_u.txt
gretil,data/raw/gretil/1_veda/2_bra/satapath/sb_05_u.htm,1_veda/2_bra/satapath/sb_05_u.htm,data/canonical/gretil_iast/1_veda/2_bra/satapath/sb_05_u.txt,iast,doc_4d968c1f99cec1a666ec6905,veda,train,102907,3067,1534,false,false,acba4da46f1f1ce253eee3dfd03af33df44c7ac282b8dc62d8c1555f5f8e52d1,bd7155db70092eb2f66650808e12bfc727aeb36b0e7b477fff91f01ba195f8c2,122379,9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_05_u.txt
gretil,data/raw/gretil/1_veda/2_bra/satapath/sb_06_u.htm,1_veda/2_bra/satapath/sb_06_u.htm,data/canonical/gretil_iast/1_veda/2_bra/satapath/sb_06_u.txt,iast,doc_2532a391329da60452ba70b0,veda,train,121467,3629,1815,false,false,a9af8b520311f0b42ba9aca28f4ff06c26f0d97542e9002389ce737039293971,9d0c94deddb0419b627c29274a553cf4cb9970038d2199df0cdcc6bc33ac8674,143788,9c515ca46ad8f9fca7e879c0a1617207bf5ccf3df21930aaa0995227c3942c40,1_veda/2_bra/satapath/sb_06_u.txt
